Feature,Importance
CustomerID_C3302,0
CustomerID_C3301,0
CustomerID_C3300,0
CustomerID_C3299,0
CustomerID_C3298,0
CustomerID_C3314,0
CustomerID_C3315,0
CustomerID_C3316,0
CustomerID_C3317,0
CustomerID_C3332,0
CustomerID_C3331,0
CustomerID_C3330,0
CustomerID_C3329,0
CustomerID_C3328,0
CustomerID_C3327,0
CustomerID_C3326,0
CustomerID_C3325,0
CustomerID_C3324,0
CustomerID_C3323,0
CustomerID_C3322,0
CustomerID_C3321,0
CustomerID_C3320,0
CustomerID_C3319,0
CustomerID_C3318,0
CustomerID_C3373,0
CustomerID_C3375,0
CustomerID_C3452,0
CustomerID_C3424,0
CustomerID_C3431,0
CustomerID_C3430,0
CustomerID_C3429,0
CustomerID_C3428,0
CustomerID_C3427,0
CustomerID_C3426,0
CustomerID_C3425,0
CustomerID_C3423,0
CustomerID_C3433,0
CustomerID_C3422,0
CustomerID_C3421,0
CustomerID_C3420,0
CustomerID_C3419,0
CustomerID_C3418,0
CustomerID_C3417,0
CustomerID_C3416,0
CustomerID_C3611,0
CustomerID_C3434,0
CustomerID_C3376,0
CustomerID_C3444,0
CustomerID_C3451,0
CustomerID_C3450,0
CustomerID_C3449,0
CustomerID_C3448,0
CustomerID_C3447,0
CustomerID_C3446,0
CustomerID_C3445,0
CustomerID_C3443,0
CustomerID_C3435,0
CustomerID_C3442,0
CustomerID_C3441,0
CustomerID_C3440,0
CustomerID_C3439,0
CustomerID_C3438,0
CustomerID_C3437,0
CustomerID_C3436,0
CustomerID_C3415,0
CustomerID_C3414,0
CustomerID_C3413,0
CustomerID_C3385,0
CustomerID_C3392,0
CustomerID_C3391,0
CustomerID_C3390,0
CustomerID_C3389,0
CustomerID_C3388,0
CustomerID_C3387,0
CustomerID_C3386,0
CustomerID_C3384,0
CustomerID_C3412,0
CustomerID_C3383,0
CustomerID_C3382,0
CustomerID_C3381,0
CustomerID_C3380,0
CustomerID_C3379,0
CustomerID_C3378,0
CustomerID_C3377,0
CustomerID_C3393,0
CustomerID_C3394,0
CustomerID_C3395,0
CustomerID_C3396,0
CustomerID_C3411,0
CustomerID_C3410,0
CustomerID_C3409,0
CustomerID_C3408,0
CustomerID_C3407,0
CustomerID_C3406,0
CustomerID_C3405,0
CustomerID_C3404,0
CustomerID_C3403,0
CustomerID_C3402,0
CustomerID_C3401,0
CustomerID_C3400,0
CustomerID_C3399,0
CustomerID_C3398,0
CustomerID_C3397,0
CustomerID_C3610,0
CustomerID_C3633,0
CustomerID_C3612,0
CustomerID_C3819,0
CustomerID_C3826,0
CustomerID_C3825,0
CustomerID_C3824,0
CustomerID_C3823,0
CustomerID_C3822,0
CustomerID_C3821,0
CustomerID_C3820,0
CustomerID_C3818,0
CustomerID_C3828,0
CustomerID_C3817,0
CustomerID_C3816,0
CustomerID_C3815,0
CustomerID_C3814,0
CustomerID_C3813,0
CustomerID_C3812,0
CustomerID_C3811,0
CustomerID_C3827,0
CustomerID_C3829,0
CustomerID_C3848,0
CustomerID_C3839,0
CustomerID_C3846,0
CustomerID_C3845,0
CustomerID_C3844,0
CustomerID_C3843,0
CustomerID_C3842,0
CustomerID_C3841,0
CustomerID_C3840,0
CustomerID_C3838,0
CustomerID_C3830,0
CustomerID_C3837,0
CustomerID_C3836,0
CustomerID_C3835,0
CustomerID_C3834,0
CustomerID_C3833,0
CustomerID_C3832,0
CustomerID_C3831,0
CustomerID_C3810,0
CustomerID_C3809,0
CustomerID_C3808,0
CustomerID_C3780,0
CustomerID_C3787,0
CustomerID_C3786,0
CustomerID_C3785,0
CustomerID_C3784,0
CustomerID_C3783,0
CustomerID_C3782,0
CustomerID_C3781,0
CustomerID_C3779,0
CustomerID_C3807,0
CustomerID_C3778,0
CustomerID_C3777,0
CustomerID_C3776,0
CustomerID_C3775,0
CustomerID_C3774,0
CustomerID_C3773,0
CustomerID_C3772,0
CustomerID_C3788,0
CustomerID_C3789,0
CustomerID_C3790,0
CustomerID_C3791,0
CustomerID_C3806,0
CustomerID_C3805,0
CustomerID_C3804,0
CustomerID_C3803,0
CustomerID_C3802,0
CustomerID_C3801,0
CustomerID_C3800,0
CustomerID_C3799,0
CustomerID_C3798,0
CustomerID_C3797,0
CustomerID_C3796,0
CustomerID_C3795,0
CustomerID_C3794,0
CustomerID_C3793,0
CustomerID_C3792,0
CustomerID_C3847,0
CustomerID_C3849,0
CustomerID_C3770,0
CustomerID_C3898,0
CustomerID_C3905,0
CustomerID_C3904,0
CustomerID_C3903,0
CustomerID_C3902,0
CustomerID_C3901,0
CustomerID_C3900,0
CustomerID_C3899,0
CustomerID_C3897,0
CustomerID_C3907,0
CustomerID_C3896,0
CustomerID_C3895,0
CustomerID_C3894,0
CustomerID_C3893,0
CustomerID_C3892,0
CustomerID_C3891,0
CustomerID_C3890,0
CustomerID_C3906,0
CustomerID_C3908,0
CustomerID_C3850,0
CustomerID_C3918,0
CustomerID_C3925,0
CustomerID_C3924,0
CustomerID_C3923,0
CustomerID_C3922,0
CustomerID_C3921,0
CustomerID_C3920,0
CustomerID_C3919,0
CustomerID_C3917,0
CustomerID_C3909,0
CustomerID_C3916,0
CustomerID_C3915,0
CustomerID_C3914,0
CustomerID_C3913,0
CustomerID_C3912,0
CustomerID_C3911,0
CustomerID_C3910,0
CustomerID_C3889,0
CustomerID_C3888,0
CustomerID_C3887,0
CustomerID_C3859,0
CustomerID_C3866,0
CustomerID_C3865,0
CustomerID_C3864,0
CustomerID_C3863,0
CustomerID_C3862,0
CustomerID_C3861,0
CustomerID_C3860,0
CustomerID_C3858,0
CustomerID_C3886,0
CustomerID_C3857,0
CustomerID_C3856,0
CustomerID_C3855,0
CustomerID_C3854,0
CustomerID_C3853,0
CustomerID_C3852,0
CustomerID_C3851,0
CustomerID_C3867,0
CustomerID_C3868,0
CustomerID_C3869,0
CustomerID_C3870,0
CustomerID_C3885,0
CustomerID_C3884,0
CustomerID_C3883,0
CustomerID_C3882,0
CustomerID_C3881,0
CustomerID_C3880,0
CustomerID_C3879,0
CustomerID_C3878,0
CustomerID_C3877,0
CustomerID_C3876,0
CustomerID_C3875,0
CustomerID_C3874,0
CustomerID_C3873,0
CustomerID_C3872,0
CustomerID_C3871,0
CustomerID_C3771,0
CustomerID_C3769,0
CustomerID_C3613,0
CustomerID_C3661,0
CustomerID_C3668,0
CustomerID_C3667,0
CustomerID_C3666,0
CustomerID_C3665,0
CustomerID_C3664,0
CustomerID_C3663,0
CustomerID_C3662,0
CustomerID_C3660,0
CustomerID_C3670,0
CustomerID_C3659,0
CustomerID_C3658,0
CustomerID_C3657,0
CustomerID_C3656,0
CustomerID_C3655,0
CustomerID_C3654,0
CustomerID_C3653,0
CustomerID_C3669,0
CustomerID_C3671,0
CustomerID_C3690,0
CustomerID_C3681,0
CustomerID_C3688,0
CustomerID_C3687,0
CustomerID_C3686,0
CustomerID_C3685,0
CustomerID_C3684,0
CustomerID_C3683,0
CustomerID_C3682,0
CustomerID_C3680,0
CustomerID_C3672,0
CustomerID_C3679,0
CustomerID_C3678,0
CustomerID_C3677,0
CustomerID_C3676,0
CustomerID_C3675,0
CustomerID_C3674,0
CustomerID_C3673,0
CustomerID_C3652,0
CustomerID_C3651,0
CustomerID_C3650,0
CustomerID_C3622,0
CustomerID_C3629,0
